site, max t_2
0, 6.303944310319734e-08
1, 6.615893729162374e-08
2, 7.255892708088694e-08
3, 8.257032373319972e-08
4, 9.671231185880317e-08
5, 1.157212997107043e-07
6, 1.4059225330301866e-07
7, 1.7263500526731127e-07
8, 2.1354911119378963e-07
9, 2.6552207160044785e-07
10, 3.3135734557743313e-07
11, 4.1464068442574476e-07
12, 5.19956088304927e-07
13, 6.531663789192829e-07
14, 8.217783207997926e-07
15, 1.0354188761815758e-06
16, 1.3064581912638569e-06
17, 1.6508271962155725e-06
18, 2.0890945509165595e-06
19, 2.6478909334070787e-06
20, 3.361801018890811e-06
21, 4.275888824848343e-06
22, 5.449086127397094e-06
23, 6.958764903991708e-06
24, 8.906946037072621e-06
25, 1.1428787369047157e-05
26, 1.4704274709968776e-05
27, 1.8974457047041013e-05
28, 2.4564196344493135e-05
29, 3.191436748667478e-05
30, 4.162793621543966e-05
31, 5.4536733231952715e-05
32, 7.17994987348124e-05
33, 9.504831128997901e-05
34, 0.00012661033342294
35, 0.00016985311694736277
36, 0.00022972456165153883
37, 0.0003136550938898034
38, 0.0004329792376798353
39, 0.0006057244482353252
40, 0.000860448839613988
41, 0.0012480137555635892
42, 0.001848049777654224
43, 0.002850395800745583
44, 0.004474503845597239
45, 0.007913316398858544
46, 0.013040460877635144
47, 0.03579247556057966
48, 0.04584594227656966
49, 0.0
50, 0.04584594227656966
51, 0.03579247556057967
52, 0.01304046087763512
53, 0.007913316398858557
54, 0.004474503845597226
55, 0.002850395800745583
56, 0.0018480497776542206
57, 0.0012480137555635857
58, 0.0008604488396139921
59, 0.0006057244482353251
60, 0.00043297923767983675
61, 0.00031365509388980314
62, 0.00022972456165153864
63, 0.00016985311694736266
64, 0.0001266103334229399
65, 9.504831128997882e-05
66, 7.179949873481237e-05
67, 5.453673323195297e-05
68, 4.162793621543966e-05
69, 3.1914367486674656e-05
70, 2.4564196344493145e-05
71, 1.8974457047041003e-05
72, 1.47042747099688e-05
73, 1.1428787369047187e-05
74, 8.906946037072625e-06
75, 6.95876490399172e-06
76, 5.4490861273970884e-06
77, 4.275888824848353e-06
78, 3.361801018890809e-06
79, 2.647890933407083e-06
80, 2.089094550916562e-06
81, 1.650827196215577e-06
82, 1.3064581912638552e-06
83, 1.0354188761815746e-06
84, 8.217783207997918e-07
85, 6.531663789192849e-07
86, 5.199560883049266e-07
87, 4.146406844257461e-07
88, 3.313573455774328e-07
89, 2.6552207160044737e-07
90, 2.1354911119378992e-07
91, 1.7263500526731137e-07
92, 1.4059225330301864e-07
93, 1.1572129971070451e-07
94, 9.67123118588031e-08
95, 8.257032373319984e-08
96, 7.255892708088684e-08
97, 6.615893729162377e-08
98, 6.303944310319734e-08
